id,title,language,season,episode,series,folder_path,original_name,google_drive_file_id,preview_link,download_link,mime_type
1QwnwHYsPp-A4bVIG1w5ed10U4hnv9Jiz,"Brewing Sudo Shield","Mandarin",3,3,"How to Do It Series","How to Do it Series/Season 3/Episode 2","S3 Brewing Sudo-Shield - mandarin.mp4","1QwnwHYsPp-A4bVIG1w5ed10U4hnv9Jiz","https://drive.google.com/file/d/1QwnwHYsPp-A4bVIG1w5ed10U4hnv9Jiz/preview","https://drive.google.com/uc?export=download&id=1QwnwHYsPp-A4bVIG1w5ed10U4hnv9Jiz","video/mp4"
1iUOfmhg9e1H1ENIQRtQtZ6nb9-7Es6AN,"Brewing Sudo Shield","French",3,3,"How to Do It Series","How to Do it Series/Season 3/Episode 2","S3 Brewing Sudo-Shield - french.mp4","1iUOfmhg9e1H1ENIQRtQtZ6nb9-7Es6AN","https://drive.google.com/file/d/1iUOfmhg9e1H1ENIQRtQtZ6nb9-7Es6AN/preview","https://drive.google.com/uc?export=download&id=1iUOfmhg9e1H1ENIQRtQtZ6nb9-7Es6AN","video/mp4"
1r0ox_VTGH4QHeMkR0FmFq1L6HC8IAryF,"Brewing Sudo Shield","Vietnamese",3,3,"How to Do It Series","How to Do it Series/Season 3/Episode 2","S3 Brewing Sudo-Shield - vietnamese.mp4","1r0ox_VTGH4QHeMkR0FmFq1L6HC8IAryF","https://drive.google.com/file/d/1r0ox_VTGH4QHeMkR0FmFq1L6HC8IAryF/preview","https://drive.google.com/uc?export=download&id=1r0ox_VTGH4QHeMkR0FmFq1L6HC8IAryF","video/mp4"
1jfyYuJagDuhiZAtkgETy0RVhJp_DBfw8,"Brewing Sudo Shield","Hindi",3,3,"How to Do It Series","How to Do it Series/Season 3/Episode 2","S3 Brewing Sudo-Shield - hindi.mp4","1jfyYuJagDuhiZAtkgETy0RVhJp_DBfw8","https://drive.google.com/file/d/1jfyYuJagDuhiZAtkgETy0RVhJp_DBfw8/preview","https://drive.google.com/uc?export=download&id=1jfyYuJagDuhiZAtkgETy0RVhJp_DBfw8","video/mp4"
1fzKc4yCa2RlEAIfHbU0bE4KwiCzPPkoL,"Brewing Sudo Shield","Arabic",3,3,"How to Do It Series","How to Do it Series/Season 3/Episode 2","S3 Brewing Sudo-Shield - arabic.mp4","1fzKc4yCa2RlEAIfHbU0bE4KwiCzPPkoL","https://drive.google.com/file/d/1fzKc4yCa2RlEAIfHbU0bE4KwiCzPPkoL/preview","https://drive.google.com/uc?export=download&id=1fzKc4yCa2RlEAIfHbU0bE4KwiCzPPkoL","video/mp4"
1NQrmuBwqv_mB_vFyknV2ozAKY8M5tVJN,"Unlocking NPK","Arabic",2,17,"How to Do It Series","How to Do it Series/Season 2/Episode 17","Episode 17 - Unlocking NPK - arabic.mp4","1NQrmuBwqv_mB_vFyknV2ozAKY8M5tVJN","https://drive.google.com/file/d/1NQrmuBwqv_mB_vFyknV2ozAKY8M5tVJN/preview","https://drive.google.com/uc?export=download&id=1NQrmuBwqv_mB_vFyknV2ozAKY8M5tVJN","video/mp4"
1083StUIHH6du-dNOXWA59Hv-C3HGACD_,"Unlocking NPK","Vietnamese",2,17,"How to Do It Series","How to Do it Series/Season 2/Episode 17","Episode 17 - Unlocking NPK - vietnamese.mp4","1083StUIHH6du-dNOXWA59Hv-C3HGACD_","https://drive.google.com/file/d/1083StUIHH6du-dNOXWA59Hv-C3HGACD_/preview","https://drive.google.com/uc?export=download&id=1083StUIHH6du-dNOXWA59Hv-C3HGACD_","video/mp4"
15UOEiW0AFBBOTvV7YjYj7hdFhk0_POlm,"Unlocking NPK","Hindi",2,17,"How to Do It Series","How to Do it Series/Season 2/Episode 17","Episode 17 - Unlocking NPK - hindi.mp4","15UOEiW0AFBBOTvV7YjYj7hdFhk0_POlm","https://drive.google.com/file/d/15UOEiW0AFBBOTvV7YjYj7hdFhk0_POlm/preview","https://drive.google.com/uc?export=download&id=15UOEiW0AFBBOTvV7YjYj7hdFhk0_POlm","video/mp4"
1E0bVRvUhq_Ig76WnC154JokS5j0XqLF0,"Unlocking NPK","Portuguese",2,17,"How to Do It Series","How to Do it Series/Season 2/Episode 17","S2 Episode 17 - Unlocking NPK - portuguese.mp4","1E0bVRvUhq_Ig76WnC154JokS5j0XqLF0","https://drive.google.com/file/d/1E0bVRvUhq_Ig76WnC154JokS5j0XqLF0/preview","https://drive.google.com/uc?export=download&id=1E0bVRvUhq_Ig76WnC154JokS5j0XqLF0","video/mp4"
11KWo1yebNeS0460K2t_cXHUyXmHB9ryA,"Unlocking NPK","Spanish",2,17,"How to Do It Series","How to Do it Series/Season 2/Episode 17","S2 Episode 17 - Unlocking NPK - spanish.mp4","11KWo1yebNeS0460K2t_cXHUyXmHB9ryA","https://drive.google.com/file/d/11KWo1yebNeS0460K2t_cXHUyXmHB9ryA/preview","https://drive.google.com/uc?export=download&id=11KWo1yebNeS0460K2t_cXHUyXmHB9ryA","video/mp4"
1JigBgSpBvx4C8puywc0FBPSZOV6iULvu,"Unlocking NPK","German",2,17,"How to Do It Series","How to Do it Series/Season 2/Episode 17","S2 Episode 17 - Unlocking NPK - german.mp4","1JigBgSpBvx4C8puywc0FBPSZOV6iULvu","https://drive.google.com/file/d/1JigBgSpBvx4C8puywc0FBPSZOV6iULvu/preview","https://drive.google.com/uc?export=download&id=1JigBgSpBvx4C8puywc0FBPSZOV6iULvu","video/mp4"
1k8t5705sXNjt6jDnciO9xRtTx_nd5VMx,"Unlocking NPK","French",2,17,"How to Do It Series","How to Do it Series/Season 2/Episode 17","S2 Episode 17 - Unlocking NPK - french.mp4","1k8t5705sXNjt6jDnciO9xRtTx_nd5VMx","https://drive.google.com/file/d/1k8t5705sXNjt6jDnciO9xRtTx_nd5VMx/preview","https://drive.google.com/uc?export=download&id=1k8t5705sXNjt6jDnciO9xRtTx_nd5VMx","video/mp4"
1dlmoz5Kb0BG3Cb9gW48RoFcrlCu7K-su,"Unlocking NPK","Mandarin",2,17,"How to Do It Series","How to Do it Series/Season 2/Episode 17","S2 Episode 17 - Unlocking NPK - mandarin.mp4","1dlmoz5Kb0BG3Cb9gW48RoFcrlCu7K-su","https://drive.google.com/file/d/1dlmoz5Kb0BG3Cb9gW48RoFcrlCu7K-su/preview","https://drive.google.com/uc?export=download&id=1dlmoz5Kb0BG3Cb9gW48RoFcrlCu7K-su","video/mp4"
1wjlLaCii7Btk1fy4DJLIAYR7yHqbL8Rt,"Understanding Humates","Spanish",2,5,"How to Do It Series","How to Do it Series/Season 2/Episode 5","S2 Episode 5 - Understanding Humates - spanish.mp4","1wjlLaCii7Btk1fy4DJLIAYR7yHqbL8Rt","https://drive.google.com/file/d/1wjlLaCii7Btk1fy4DJLIAYR7yHqbL8Rt/preview","https://drive.google.com/uc?export=download&id=1wjlLaCii7Btk1fy4DJLIAYR7yHqbL8Rt","video/mp4"
14SOrUebzLpNGMZxGX_GqtJ-LI738E3NJ,"Understanding Humates","German",2,5,"How to Do It Series","How to Do it Series/Season 2/Episode 5","S2 Episode 5 - Understanding Humates - german.mp4","14SOrUebzLpNGMZxGX_GqtJ-LI738E3NJ","https://drive.google.com/file/d/14SOrUebzLpNGMZxGX_GqtJ-LI738E3NJ/preview","https://drive.google.com/uc?export=download&id=14SOrUebzLpNGMZxGX_GqtJ-LI738E3NJ","video/mp4"
1h8FbEP9OxOKSY7eurxNxgnmHWXJjmXJE,"Understanding Humates","Portuguese",2,5,"How to Do It Series","How to Do it Series/Season 2/Episode 5","S2 Episode 5 - Understanding Humates - portugues.mp4","1h8FbEP9OxOKSY7eurxNxgnmHWXJjmXJE","https://drive.google.com/file/d/1h8FbEP9OxOKSY7eurxNxgnmHWXJjmXJE/preview","https://drive.google.com/uc?export=download&id=1h8FbEP9OxOKSY7eurxNxgnmHWXJjmXJE","video/mp4"
1_on23tM0beW5RL30WxvZYWDdB1d1XDD6,"Understanding Humates","French",2,5,"How to Do It Series","How to Do it Series/Season 2/Episode 5","S2 Episode 5 - Understanding Humates - french.mp4","1_on23tM0beW5RL30WxvZYWDdB1d1XDD6","https://drive.google.com/file/d/1_on23tM0beW5RL30WxvZYWDdB1d1XDD6/preview","https://drive.google.com/uc?export=download&id=1_on23tM0beW5RL30WxvZYWDdB1d1XDD6","video/mp4"
1sRDxUtyZzs6jXZTzZWt6hVQw-wjpteq_,"Understanding Humates","Mandarin",2,5,"How to Do It Series","How to Do it Series/Season 2/Episode 5","S2 Episode 5 - Understanding Humates - mandarin.mp4","1sRDxUtyZzs6jXZTzZWt6hVQw-wjpteq_","https://drive.google.com/file/d/1sRDxUtyZzs6jXZTzZWt6hVQw-wjpteq_/preview","https://drive.google.com/uc?export=download&id=1sRDxUtyZzs6jXZTzZWt6hVQw-wjpteq_","video/mp4"
